URL,keyword,priority,reason,indexable,sitemap,lastmod
"https://pet.dudle.co.kr/hospital/seoul","서울 동물병원","P0","공식 데이터 978건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/hospital/busan","부산 동물병원","P0","공식 데이터 283건 · HIGH","YES","YES","2026-08-24"
"https://pet.dudle.co.kr/hospital/incheon","인천 동물병원","P0","공식 데이터 258건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/hospital/daegu","대구 동물병원","P0","공식 데이터 216건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/hospital/gyeonggi/r-41110","수원 동물병원","P0","공식 데이터 123건 · HIGH","YES","YES","2026-08-21"
"https://pet.dudle.co.kr/hospital/daejeon","대전 동물병원","P0","공식 데이터 119건 · HIGH","YES","YES","2026-08-04"
"https://pet.dudle.co.kr/hospital/gyeonggi/r-41460","용인 동물병원","P0","공식 데이터 119건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/hospital/gyeonggi/r-41130","성남 동물병원","P0","공식 데이터 117건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/hospital/jeju","제주 동물병원","P0","공식 데이터 115건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/hospital/seoul/r-11680","강남구 동물병원","P0","공식 데이터 94건 · HIGH","YES","YES","2026-08-27"
"https://pet.dudle.co.kr/hospital/chungbuk/r-43110","청주 동물병원","P0","공식 데이터 90건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/hospital/seoul/r-11710","송파구 동물병원","P0","공식 데이터 89건 · HIGH","YES","YES","2026-07-16"
"https://pet.dudle.co.kr/hospital/gyeongnam/r-48120","창원 동물병원","P0","공식 데이터 83건 · HIGH","YES","YES","2026-08-31"
"https://pet.dudle.co.kr/hospital/ulsan","울산 동물병원","P0","공식 데이터 81건 · HIGH","YES","YES","2026-08-25"
"https://pet.dudle.co.kr/hospital/chungnam/r-44130","천안 동물병원","P0","공식 데이터 69건 · HIGH","YES","YES","2026-08-20"
"https://pet.dudle.co.kr/hospital/seoul/r-11650","서초구 동물병원","P0","공식 데이터 62건 · HIGH","YES","YES","2026-08-18"
"https://pet.dudle.co.kr/hospital/jeonbuk/r-52110","전주 동물병원","P0","공식 데이터 49건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/hospital/busan/r-26350","해운대구 동물병원","P0","공식 데이터 44건 · HIGH","YES","YES","2025-09-23"
"https://pet.dudle.co.kr/hospital/gyeongbuk/r-47110","포항 동물병원","P0","공식 데이터 39건 · HIGH","YES","YES","2026-06-10"
"https://pet.dudle.co.kr/hospital/sejong","세종 동물병원","P0","공식 데이터 35건 · HIGH","YES","YES","2026-08-31"
"https://pet.dudle.co.kr/hospital/gangwon/r-51110","춘천 동물병원","P0","공식 데이터 31건 · HIGH","YES","YES","2026-08-28"
"https://pet.dudle.co.kr/hospital/jeonnam-gwangju/suncheon","순천 동물병원","P0","공식 데이터 22건 · HIGH","YES","YES","2026-08-31"
"https://pet.dudle.co.kr/hospital/jeonnam-gwangju/yeosu","여수 동물병원","P0","공식 데이터 15건 · HIGH","YES","YES","2026-02-11"
"https://pet.dudle.co.kr/pharmacy/seoul","서울 동물약국","P0","공식 데이터 2832건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/pharmacy/busan","부산 동물약국","P0","공식 데이터 1016건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/pharmacy/incheon","인천 동물약국","P0","공식 데이터 787건 · HIGH","YES","YES","2026-09-01"
"https://pet.dudle.co.kr/pharmacy/daegu","대구 동물약국","P0","공식 데이터 608건 · HIGH","YES","YES","2026-08-21"
"https://pet.dudle.co.kr/pharmacy/daejeon","대전 동물약국","P0","공식 데이터 355건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41110","수원 동물약국","P0","공식 데이터 355건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41130","성남 동물약국","P0","공식 데이터 311건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/pharmacy/seoul/r-11680","강남구 동물약국","P0","공식 데이터 295건 · HIGH","YES","YES","2026-08-27"
"https://pet.dudle.co.kr/pharmacy/ulsan","울산 동물약국","P0","공식 데이터 266건 · HIGH","YES","YES","2026-08-24"
"https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41460","용인 동물약국","P0","공식 데이터 262건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/pharmacy/gyeongnam/r-48120","창원 동물약국","P0","공식 데이터 235건 · HIGH","YES","YES","2026-09-03"
"https://pet.dudle.co.kr/pharmacy/jeonbuk/r-52110","전주 동물약국","P0","공식 데이터 217건 · HIGH","YES","YES","2026-08-20"
"https://pet.dudle.co.kr/pharmacy/seoul/r-11710","송파구 동물약국","P0","공식 데이터 212건 · HIGH","YES","YES","2026-07-21"
"https://pet.dudle.co.kr/pharmacy/jeju","제주 동물약국","P0","공식 데이터 195건 · HIGH","YES","YES","2026-08-28"
"https://pet.dudle.co.kr/pharmacy/seoul/r-11650","서초구 동물약국","P0","공식 데이터 167건 · HIGH","YES","YES","2026-08-20"
"https://pet.dudle.co.kr/pharmacy/chungbuk/r-43110","청주 동물약국","P0","공식 데이터 150건 · HIGH","YES","YES","2026-08-21"
"https://pet.dudle.co.kr/pharmacy/chungnam/r-44130","천안 동물약국","P0","공식 데이터 149건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/pharmacy/busan/r-26350","해운대구 동물약국","P0","공식 데이터 130건 · HIGH","YES","YES","2026-07-07"
"https://pet.dudle.co.kr/pharmacy/gyeongbuk/r-47110","포항 동물약국","P0","공식 데이터 125건 · HIGH","YES","YES","2026-08-11"
"https://pet.dudle.co.kr/pharmacy/sejong","세종 동물약국","P0","공식 데이터 95건 · HIGH","YES","YES","2026-09-02"
"https://pet.dudle.co.kr/pharmacy/gangwon/r-51110","춘천 동물약국","P0","공식 데이터 65건 · HIGH","YES","YES","2026-08-11"
"https://pet.dudle.co.kr/pharmacy/jeonnam-gwangju/suncheon","순천 동물약국","P0","공식 데이터 63건 · HIGH","YES","YES","2026-07-08"
"https://pet.dudle.co.kr/pharmacy/jeonnam-gwangju/yeosu","여수 동물약국","P0","공식 데이터 51건 · HIGH","YES","YES","2026-07-23"
"https://pet.dudle.co.kr/cost/busan","부산 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/chungbuk/cheongju","청주 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/chungnam/cheonan","천안 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/daegu","대구 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/daejeon","대전 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/gyeonggi/r-41130","성남 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/gyeonggi/suwon","수원 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/gyeongnam/changwon","창원 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/incheon","인천 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/jeju","제주 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/jeonbuk/jeonju","전주 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/sejong","세종 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
"https://pet.dudle.co.kr/cost/seoul","서울 동물병원 진료비","P0","공식 데이터 35건 · MEDIUM","YES","YES","2025-12-22"
