keyword,canonical_url,category,priority,weekly_impressions,weekly_clicks,ctr,average_position,naver_indexed,google_indexed
"서울 동물약국","https://pet.dudle.co.kr/pharmacy/seoul","PHARMACY_REGION","P0","","","","","",""
"부산 동물약국","https://pet.dudle.co.kr/pharmacy/busan","PHARMACY_REGION","P0","","","","","",""
"서울 동물병원","https://pet.dudle.co.kr/hospital/seoul","HOSPITAL_REGION","P0","","","","","",""
"인천 동물약국","https://pet.dudle.co.kr/pharmacy/incheon","PHARMACY_REGION","P0","","","","","",""
"대구 동물약국","https://pet.dudle.co.kr/pharmacy/daegu","PHARMACY_REGION","P0","","","","","",""
"대전 동물약국","https://pet.dudle.co.kr/pharmacy/daejeon","PHARMACY_REGION","P0","","","","","",""
"수원 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41110","PHARMACY_REGION","P0","","","","","",""
"성남 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41130","PHARMACY_REGION","P0","","","","","",""
"강남구 동물약국","https://pet.dudle.co.kr/pharmacy/seoul/r-11680","PHARMACY_REGION","P0","","","","","",""
"부산 동물병원","https://pet.dudle.co.kr/hospital/busan","HOSPITAL_REGION","P0","","","","","",""
"울산 동물약국","https://pet.dudle.co.kr/pharmacy/ulsan","PHARMACY_REGION","P0","","","","","",""
"용인 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41460","PHARMACY_REGION","P0","","","","","",""
"인천 동물병원","https://pet.dudle.co.kr/hospital/incheon","HOSPITAL_REGION","P0","","","","","",""
"창원 동물약국","https://pet.dudle.co.kr/pharmacy/gyeongnam/r-48120","PHARMACY_REGION","P0","","","","","",""
"전주 동물약국","https://pet.dudle.co.kr/pharmacy/jeonbuk/r-52110","PHARMACY_REGION","P0","","","","","",""
"대구 동물병원","https://pet.dudle.co.kr/hospital/daegu","HOSPITAL_REGION","P0","","","","","",""
"송파구 동물약국","https://pet.dudle.co.kr/pharmacy/seoul/r-11710","PHARMACY_REGION","P0","","","","","",""
"제주 동물약국","https://pet.dudle.co.kr/pharmacy/jeju","PHARMACY_REGION","P0","","","","","",""
"서초구 동물약국","https://pet.dudle.co.kr/pharmacy/seoul/r-11650","PHARMACY_REGION","P0","","","","","",""
"청주 동물약국","https://pet.dudle.co.kr/pharmacy/chungbuk/r-43110","PHARMACY_REGION","P0","","","","","",""
"천안 동물약국","https://pet.dudle.co.kr/pharmacy/chungnam/r-44130","PHARMACY_REGION","P0","","","","","",""
"해운대구 동물약국","https://pet.dudle.co.kr/pharmacy/busan/r-26350","PHARMACY_REGION","P0","","","","","",""
"포항 동물약국","https://pet.dudle.co.kr/pharmacy/gyeongbuk/r-47110","PHARMACY_REGION","P0","","","","","",""
"수원 동물병원","https://pet.dudle.co.kr/hospital/gyeonggi/r-41110","HOSPITAL_REGION","P0","","","","","",""
"대전 동물병원","https://pet.dudle.co.kr/hospital/daejeon","HOSPITAL_REGION","P0","","","","","",""
"용인 동물병원","https://pet.dudle.co.kr/hospital/gyeonggi/r-41460","HOSPITAL_REGION","P0","","","","","",""
"성남 동물병원","https://pet.dudle.co.kr/hospital/gyeonggi/r-41130","HOSPITAL_REGION","P0","","","","","",""
"제주 동물병원","https://pet.dudle.co.kr/hospital/jeju","HOSPITAL_REGION","P0","","","","","",""
"세종 동물약국","https://pet.dudle.co.kr/pharmacy/sejong","PHARMACY_REGION","P0","","","","","",""
"강남구 동물병원","https://pet.dudle.co.kr/hospital/seoul/r-11680","HOSPITAL_REGION","P0","","","","","",""
"청주 동물병원","https://pet.dudle.co.kr/hospital/chungbuk/r-43110","HOSPITAL_REGION","P0","","","","","",""
